"method","age_grp","parity","percent"
"Pill","<18","0",0.0517863450487296
"IUD","<18","0",0
"Injectable","<18","0",0.195570074831473
"Condom","<18","0",0.655478034018482
"F.sterilization","<18","0",0
"Abstinence","<18","0",0.0704296931192532
"Withdrawal","<18","0",0
"Other.trad","<18","0",0
"Implant","<18","0",0.0216353701988365
"Other.mod","<18","0",0.0051004827832249
"Pill",">35","0",0.188033556600955
"IUD",">35","0",0
"Injectable",">35","0",0
"Condom",">35","0",0.392125993396819
"F.sterilization",">35","0",0
"Abstinence",">35","0",0.419840450002226
"Withdrawal",">35","0",0
"Other.trad",">35","0",0
"Implant",">35","0",0
"Other.mod",">35","0",0
"Pill","18-20","0",0.0970885857681399
"IUD","18-20","0",0
"Injectable","18-20","0",0.107836060268585
"Condom","18-20","0",0.563821685110067
"F.sterilization","18-20","0",0
"Abstinence","18-20","0",0.148816751006178
"Withdrawal","18-20","0",0.0289105085825791
"Other.trad","18-20","0",0
"Implant","18-20","0",0.0201822145738257
"Other.mod","18-20","0",0.0333441946906256
"Pill","20-25","0",0.159923715209371
"IUD","20-25","0",0
"Injectable","20-25","0",0.0960859152625588
"Condom","20-25","0",0.549634463272291
"F.sterilization","20-25","0",0
"Abstinence","20-25","0",0.137936399570159
"Withdrawal","20-25","0",0.0274002920300183
"Other.trad","20-25","0",0
"Implant","20-25","0",0.0166018589749002
"Other.mod","20-25","0",0.012417355680701
"Pill","25-30","0",0.136182492062377
"IUD","25-30","0",0.0599739265694419
"Injectable","25-30","0",0.0907117823885525
"Condom","25-30","0",0.509521225838628
"F.sterilization","25-30","0",0
"Abstinence","25-30","0",0.152403720525174
"Withdrawal","25-30","0",0.0277791017526166
"Other.trad","25-30","0",0
"Implant","25-30","0",0.0131572916174676
"Other.mod","25-30","0",0.0102704592457425
"Pill","30-35","0",0.201316690772079
"IUD","30-35","0",0.0113774918397995
"Injectable","30-35","0",0.0740162043798397
"Condom","30-35","0",0.566387391678484
"F.sterilization","30-35","0",0
"Abstinence","30-35","0",0.0861771515472795
"Withdrawal","30-35","0",0.047396411712649
"Other.trad","30-35","0",0
"Implant","30-35","0",0.0133286580698697
"Other.mod","30-35","0",0
"Pill","<18","1",0.025728212284669
"IUD","<18","1",0.00722899013097135
"Injectable","<18","1",0.693314262853429
"Condom","<18","1",0.0217422143639139
"F.sterilization","<18","1",0
"Abstinence","<18","1",0.0849871402107078
"Withdrawal","<18","1",0.0103367383858025
"Other.trad","<18","1",0
"Implant","<18","1",0.156662441770506
"Other.mod","<18","1",0
"Pill",">35","1",0.0514981399135848
"IUD",">35","1",0.0768004769801118
"Injectable",">35","1",0.222499373892603
"Condom",">35","1",0.258683971952083
"F.sterilization",">35","1",0.0509860310226904
"Abstinence",">35","1",0.154437520136892
"Withdrawal",">35","1",0
"Other.trad",">35","1",0.00389640216380923
"Implant",">35","1",0.181198083938226
"Other.mod",">35","1",0
"Pill","18-20","1",0.0622762931959656
"IUD","18-20","1",0.0113931406433794
"Injectable","18-20","1",0.606185073387559
"Condom","18-20","1",0.0542610568721947
"F.sterilization","18-20","1",0
"Abstinence","18-20","1",0.049566013953485
"Withdrawal","18-20","1",0.00351662606577627
"Other.trad","18-20","1",0.00288834974654739
"Implant","18-20","1",0.208608755775318
"Other.mod","18-20","1",0.00130469035977434
"Pill","20-25","1",0.139140063406807
"IUD","20-25","1",0.0364809969481822
"Injectable","20-25","1",0.521541107058466
"Condom","20-25","1",0.0600471337652339
"F.sterilization","20-25","1",0
"Abstinence","20-25","1",0.0702834090377268
"Withdrawal","20-25","1",0.00706410388988674
"Other.trad","20-25","1",0.00731363954894752
"Implant","20-25","1",0.157706343884369
"Other.mod","20-25","1",0.000423202460380868
"Pill","25-30","1",0.118872173792657
"IUD","25-30","1",0.0874442992288761
"Injectable","25-30","1",0.424636312804743
"Condom","25-30","1",0.0900401239379953
"F.sterilization","25-30","1",0
"Abstinence","25-30","1",0.0607988396967879
"Withdrawal","25-30","1",0.00983050460366302
"Other.trad","25-30","1",0.00199638141917744
"Implant","25-30","1",0.205005657920088
"Other.mod","25-30","1",0.00137570659601238
"Pill","30-35","1",0.20988223852248
"IUD","30-35","1",0.118414182214118
"Injectable","30-35","1",0.368405279757081
"Condom","30-35","1",0.133499271961355
"F.sterilization","30-35","1",0.0031772080478649
"Abstinence","30-35","1",0.0567416668259076
"Withdrawal","30-35","1",0
"Other.trad","30-35","1",0
"Implant","30-35","1",0.106278376838095
"Other.mod","30-35","1",0.00360177583309734
"Pill","<18","2",0.114155106587579
"IUD","<18","2",0
"Injectable","<18","2",0.711015319286687
"Condom","<18","2",0
"F.sterilization","<18","2",0
"Abstinence","<18","2",0.0470051222972265
"Withdrawal","<18","2",0.0175824756500462
"Other.trad","<18","2",0.0169900315145052
"Implant","<18","2",0.0932519446639564
"Other.mod","<18","2",0
"Pill",">35","2",0.242831405979806
"IUD",">35","2",0.124958677737439
"Injectable",">35","2",0.254522583584604
"Condom",">35","2",0.0619725224734976
"F.sterilization",">35","2",0.0451687362340602
"Abstinence",">35","2",0.118635889348685
"Withdrawal",">35","2",0.00759840148894074
"Other.trad",">35","2",0.00703582552719188
"Implant",">35","2",0.136590315916826
"Other.mod",">35","2",0.000685641708950482
"Pill","18-20","2",0.0763739744728562
"IUD","18-20","2",0.011436347731337
"Injectable","18-20","2",0.639505178088846
"Condom","18-20","2",0.0317705013056192
"F.sterilization","18-20","2",0
"Abstinence","18-20","2",0.01924395970795
"Withdrawal","18-20","2",0.0540871827184304
"Other.trad","18-20","2",0
"Implant","18-20","2",0.167582855974962
"Other.mod","18-20","2",0
"Pill","20-25","2",0.100701714607699
"IUD","20-25","2",0.0173524099476586
"Injectable","20-25","2",0.610802509961919
"Condom","20-25","2",0.0144079188618366
"F.sterilization","20-25","2",0.00140489525348274
"Abstinence","20-25","2",0.0358429438158991
"Withdrawal","20-25","2",0.00384073538183914
"Other.trad","20-25","2",0.000241876054666847
"Implant","20-25","2",0.210601573496773
"Other.mod","20-25","2",0.00480342261822598
"Pill","25-30","2",0.140834749134886
"IUD","25-30","2",0.0594216059340665
"Injectable","25-30","2",0.501075646736724
"Condom","25-30","2",0.0286280279673465
"F.sterilization","25-30","2",0.00475416732329509
"Abstinence","25-30","2",0.049085475994074
"Withdrawal","25-30","2",0.00604357605548032
"Other.trad","25-30","2",0.00715789752403291
"Implant","25-30","2",0.201603515325866
"Other.mod","25-30","2",0.00139533800422766
"Pill","30-35","2",0.212742416517821
"IUD","30-35","2",0.103485677651565
"Injectable","30-35","2",0.393033285849242
"Condom","30-35","2",0.0417654613243072
"F.sterilization","30-35","2",0.0047689975801513
"Abstinence","30-35","2",0.0563350438232158
"Withdrawal","30-35","2",0.0145981868295272
"Other.trad","30-35","2",0.0152279108957088
"Implant","30-35","2",0.156825503443336
"Other.mod","30-35","2",0.00121751608512524
"Pill","<18","3",NA
"IUD","<18","3",NA
"Injectable","<18","3",NA
"Condom","<18","3",NA
"F.sterilization","<18","3",NA
"Abstinence","<18","3",NA
"Withdrawal","<18","3",NA
"Other.trad","<18","3",NA
"Implant","<18","3",NA
"Other.mod","<18","3",NA
"Pill",">35","3",0.232164744209496
"IUD",">35","3",0.107923852013514
"Injectable",">35","3",0.291314290655141
"Condom",">35","3",0.0531995189953253
"F.sterilization",">35","3",0.114882459581364
"Abstinence",">35","3",0.0766267612527539
"Withdrawal",">35","3",0.0122610188005855
