"Estimate","Std. Error","t value","Pr(>|t|)","lhs","rhs"
-4.14788600210366,1.18786328762431,-3.49188837243998,0.000767267946205008,"paid_employment","(Intercept)"
0.159756510759279,0.403052270919171,0.396366730287738,0.692839612752793,"paid_employment","contraception_1"
2.20177494542146,0.427446758361493,5.15099226360119,1.68546381801919e-06,"paid_employment","paid_employment_1"
-1.02914896043033,1.13581027674051,-0.906092312691273,0.367478771703204,"paid_employment","ns(age_0, 3)1"
0.672019258805383,2.36556902182753,0.284083555628494,0.777045437191736,"paid_employment","ns(age_0, 3)2"
-2.16900547732881,1.49355332924534,-1.45224508215234,0.15015859985963,"paid_employment","ns(age_0, 3)3"
0.00385924764430454,0.0496023050622823,0.0778037964054038,0.938169159505197,"paid_employment","yrs.edu_0"
0.376920821457365,0.175130209461424,2.15223188858453,0.0342484732689703,"paid_employment","parity_0"
0.386163759034052,0.681488336149633,0.566647642446609,0.572464590364749,"paid_employment","urban_0"
0.351178010049683,0.250142333187989,1.40391274669115,0.16403123500138,"paid_employment","wealthquintile_0"
-5.478200998047,1.44976460389761,-3.77868309332368,0.000325042220128775,"decision_wages","(Intercept)"
0.403132874095299,0.458613006753844,0.879026255597842,0.382352365455852,"decision_wages","contraception_1"
1.81591466881195,0.486690079654861,3.7311520097137,0.000380725340215436,"decision_wages","decision_wages_1"
-0.617390566436052,1.28118316659693,-0.481890944661691,0.63136556052726,"decision_wages","ns(age_0, 3)1"
4.23441863748746,3.20715121202418,1.32030526705815,0.190973710408526,"decision_wages","ns(age_0, 3)2"
-1.84474350260033,1.74836650263337,-1.05512402566727,0.294945865313516,"decision_wages","ns(age_0, 3)3"
-0.0206572467773885,0.0596388148475694,-0.3463725231661,0.730087166070472,"decision_wages","yrs.edu_0"
0.259790263732027,0.19744702889058,1.31574663438464,0.192491847996624,"decision_wages","parity_0"
0.581821943738518,0.680008046283908,0.855610381256583,0.395091580912974,"decision_wages","urban_0"
0.391827602681479,0.245875132115925,1.5936040351439,0.115467188425797,"decision_wages","wealthquintile_0"
-2.22999033311095,1.04785556096622,-2.12814667992475,0.0370068458055851,"decision_health","(Intercept)"
-0.0583124480927872,0.557289723773832,-0.104635785669812,0.916977429302462,"decision_health","contraception_1"
2.34388477093332,0.561611825384758,4.17349611420224,8.83772940943145e-05,"decision_health","decision_health_1"
2.73114183701105,2.40153443777175,1.13724866654218,0.259485220496636,"decision_health","ns(age_0, 1)"
0.0785477900520882,0.0711154711470502,1.10451057674454,0.273322578756994,"decision_health","yrs.edu_0"
-0.0648756682363342,0.186449792325933,-0.347952483223606,0.728966710136731,"decision_health","parity_0"
-0.791426350749406,0.648595094760122,-1.22021636787449,0.226660351980813,"decision_health","urban_0"
0.287024288465022,0.268000137736191,1.07098560056546,0.288018801180088,"decision_health","wealthquintile_0"
