"estimate","coef","method","functionform"
"shape",0.279355914683982,"Injectable","gamma"
"rate",-2.99980490296247,"Injectable","gamma"
"age_grp_fact(0,18]",0.500883319841989,"Injectable","gamma"
"age_grp_fact(18,20]",0.207710693949518,"Injectable","gamma"
"age_grp_fact(25,35]",-0.45504852849522,"Injectable","gamma"
"age_grp_fact(35,50]",-0.716333163779548,"Injectable","gamma"
"meanlog",2.11517824974575,"None","lnorm"
"sdlog",0.254967479272229,"None","lnorm"
"age_grp_fact(0,18]",-0.162425317334029,"None","lnorm"
"age_grp_fact(18,20]",0.0916533525560237,"None","lnorm"
"age_grp_fact(25,35]",0.128964912019441,"None","lnorm"
"age_grp_fact(35,50]",1.02158311122685,"None","lnorm"
"meanlog",2.96669981194057,"Condom","lnorm"
"sdlog",0.612927808475126,"Condom","lnorm"
"age_grp_fact(0,18]",-0.944358020278272,"Condom","lnorm"
"age_grp_fact(18,20]",-0.295970986986498,"Condom","lnorm"
"age_grp_fact(25,35]",0.63769812541032,"Condom","lnorm"
"age_grp_fact(35,50]",1.04143926245061,"Condom","lnorm"
"shape",0.028944436708871,"Implant","gompertz"
"rate",-4.9123594925561,"Implant","gompertz"
"age_grp_fact(0,18]",0.732132931040802,"Implant","gompertz"
"age_grp_fact(18,20]",0.682692281727175,"Implant","gompertz"
"age_grp_fact(25,35]",-0.482357067505444,"Implant","gompertz"
"age_grp_fact(35,50]",-1.49862194407613,"Implant","gompertz"
"shape",0.038625428483578,"IUD","gompertz"
"rate",-4.73244159601119,"IUD","gompertz"
"age_grp_fact(0,18]",2.89451947731576,"IUD","gompertz"
"age_grp_fact(18,20]",0.608736207709551,"IUD","gompertz"
"age_grp_fact(25,35]",-0.79054947082533,"IUD","gompertz"
"age_grp_fact(35,50]",-2.16093698381917,"IUD","gompertz"
"meanlog",2.35946187878322,"Pill","lnorm"
"sdlog",0.264891462448135,"Pill","lnorm"
"age_grp_fact(0,18]",-0.627132100382602,"Pill","lnorm"
"age_grp_fact(18,20]",-0.571646219557213,"Pill","lnorm"
"age_grp_fact(25,35]",0.509506376666395,"Pill","lnorm"
"age_grp_fact(35,50]",1.09898567733413,"Pill","lnorm"
"shape",0.764078589534351,"Withdrawal","llogis"
"scale",2.50178733351139,"Withdrawal","llogis"
"age_grp_fact(0,18]",-0.575544299702661,"Withdrawal","llogis"
"age_grp_fact(18,20]",0.300416983650107,"Withdrawal","llogis"
"age_grp_fact(25,35]",0.55392134356392,"Withdrawal","llogis"
"age_grp_fact(35,50]",1.35530726495995,"Withdrawal","llogis"
"shape",0.345643205891865,"Other.trad","gamma"
"rate",-2.92818005064651,"Other.trad","gamma"
"age_grp_fact(0,18]",0.450960888136593,"Other.trad","gamma"
"age_grp_fact(18,20]",0.197750574262128,"Other.trad","gamma"
"age_grp_fact(25,35]",-0.318908928574026,"Other.trad","gamma"
"age_grp_fact(35,50]",-0.97288324094673,"Other.trad","gamma"
"meanlog",1.78642266709178,"Other.mod","lnorm"
"sdlog",0.42215555210287,"Other.mod","lnorm"
"age_grp_fact(0,18]",-0.397191956494705,"Other.mod","lnorm"
"age_grp_fact(18,20]",-1.78642266706249,"Other.mod","lnorm"
"age_grp_fact(25,35]",1.16208582810923,"Other.mod","lnorm"
"age_grp_fact(35,50]",2.28202838300466,"Other.mod","lnorm"
