"estimate","coef","se","method","functionform"
2.0235585539908,"meanlog",0.116738107199127,"None","lnorm"
0.313667763210462,"sdlog",0.0312825951620899,"None","lnorm"
0.0560562748136365,"age_grp_fact(0,18]",0.482159174066038,"None","lnorm"
-0.232203067029244,"age_grp_fact(18,20]",0.260518075596923,"None","lnorm"
0,"age_grp_fact(20,25]",0,"None","lnorm"
0.0602883846899857,"age_grp_fact(25,35]",0.137286428835772,"None","lnorm"
0.965920990199062,"age_grp_fact(35,50]",0.169831277117162,"None","lnorm"
0.105438604332748,"shape",0.169351230059852,"Pill","gamma"
-2.73947496627069,"rate",0.404124492221305,"Pill","gamma"
-0.511485641084395,"age_grp_fact(0,18]",0.22632722538366,"Pill","lnorm"
-0.0572750058010199,"age_grp_fact(18,20]",0.1931957915117,"Pill","lnorm"
0,"age_grp_fact(20,25]",0,"Pill","gamma"
-0.384733910817102,"age_grp_fact(25,35]",0.392110734299968,"Pill","gamma"
-1.41710258339903,"age_grp_fact(35,50]",0.479402616193882,"Pill","gamma"
1.14008765609854,"shape",0.643020193422586,"IUD","gamma"
-1.69312648359011,"rate",0.856309889308582,"IUD","gamma"
-0.0133930573364375,"age_grp_fact(0,18]",1.04446593597472,"IUD","exponential"
-0.914941507473389,"age_grp_fact(18,20]",1.04446593597472,"IUD","exponential"
0,"age_grp_fact(20,25]",0,"IUD","gamma"
-0.85841181698192,"age_grp_fact(25,35]",0.687522515912159,"IUD","gamma"
-1.76888182773243,"age_grp_fact(35,50]",0.790433513789008,"IUD","gamma"
-0.1044003588039,"shape",0.235761953991897,"Injectable","gamma"
-2.68205630773678,"rate",0.49049105653126,"Injectable","gamma"
-0.504520464792445,"age_grp_fact(0,18]",0.170878620708977,"Injectable","lnorm"
-0.418113180792587,"age_grp_fact(18,20]",1.13801877262951,"Injectable","gamma"
0,"age_grp_fact(20,25]",0,"Injectable","gamma"
-1.1945036219983,"age_grp_fact(25,35]",0.549130566601707,"Injectable","gamma"
-2.65060788848319,"age_grp_fact(35,50]",0.949465983411689,"Injectable","gamma"
0.324078890035605,"shape",0.0926622473573372,"Condom","weibull"
3.50283452512744,"scale",0.180888932928823,"Condom","weibull"
-1.1139351190332,"age_grp_fact(0,18]",0.370639001929485,"Condom","weibull"
0.279753795997539,"age_grp_fact(18,20]",0.543043580921574,"Condom","weibull"
0,"age_grp_fact(20,25]",0,"Condom","weibull"
-0.0465765082096487,"age_grp_fact(25,35]",0.209992529147641,"Condom","weibull"
0.611395340531168,"age_grp_fact(35,50]",0.331690846488535,"Condom","weibull"
0.720471323259156,"shape",0.200135870063595,"Withdrawal","llogis"
2.68489307544601,"scale",0.200135870063595,"Withdrawal","llogis"
6.10599282904229,"age_grp_fact(0,18]",2001.35870063595,"Withdrawal","llogis"
0.020606932379067,"age_grp_fact(18,20]",0.200135870063595,"Withdrawal","llogis"
0,"age_grp_fact(20,25]",0,"Withdrawal","llogis"
0.217082981131707,"age_grp_fact(25,35]",0.200135870063595,"Withdrawal","llogis"
1.41818012815638,"age_grp_fact(35,50]",0.200135870063595,"Withdrawal","llogis"
0.42071875970267,"shape",0.300554813219208,"Implant","gamma"
-3.39802485140373,"rate",0.910913786864838,"Implant","gamma"
-0.0854981107568554,"age_grp_fact(0,18]",0.363501876609567,"Implant","weibull"
0.306865257028758,"age_grp_fact(18,20]",0.318547972476831,"Implant","weibull"
0,"age_grp_fact(20,25]",0,"Implant","gamma"
-0.137540758911171,"age_grp_fact(25,35]",0.769398404673135,"Implant","gamma"
-0.799580726827127,"age_grp_fact(35,50]",0.810156848588281,"Implant","gamma"
3.34953967057388,"meanlog",0.118044100777111,"Other.trad","lnorm"
0.0236683996810248,"sdlog",0.118044100777111,"Other.trad","lnorm"
-1.68343741497158,"age_grp_fact(0,18]",0.118044100777111,"Other.trad","lnorm"
4.87502598336251,"age_grp_fact(18,20]",1180.4410077711,"Other.trad","lnorm"
0,"age_grp_fact(20,25]",0,"Other.trad","lnorm"
0.0174432417938704,"age_grp_fact(25,35]",0.118044100777111,"Other.trad","lnorm"
0.808098622641504,"age_grp_fact(35,50]",0.118044100777111,"Other.trad","lnorm"
0.429885360664384,"shape",0.258126340027319,"Other.mod","gamma"
-2.82885906527526,"rate",0.453661251576974,"Other.mod","gamma"
0.247202803331538,"age_grp_fact(0,18]",0.354368062776311,"Other.mod","lnorm"
-4.75001399241327,"age_grp_fact(18,20]",52.2301822451497,"Other.mod","gamma"
0,"age_grp_fact(20,25]",0,"Other.mod","gamma"
0.15202108415884,"age_grp_fact(25,35]",0.378918264922102,"Other.mod","gamma"
0.034540384827771,"age_grp_fact(35,50]",0.547407124772651,"Other.mod","gamma"
