age,parity,dataset,percentage
15-19,0,DHS 1986,16.330690826727068
15-19,1,DHS 1986,4.530011325028313
15-19,2,DHS 1986,1.1098527746319369
15-19,3,DHS 1986,0.0906002265005662
15-19,4,DHS 1986,0.0226500566251415
20-24,0,DHS 1986,5.345413363533409
20-24,1,DHS 1986,4.64326160815402
20-24,2,DHS 1986,5.413363533408833
20-24,3,DHS 1986,3.556058890147225
20-24,4,DHS 1986,1.041902604756512
20-24,5,DHS 1986,0.203850509626274
20-24,6,DHS 1986,0.0679501698754246
25-29,0,DHS 1986,1.7893544733861833
25-29,1,DHS 1986,2.1291053227633068
25-29,2,DHS 1986,2.6500566251415627
25-29,3,DHS 1986,4.2129105322763305
25-29,4,DHS 1986,4.394110985277464
25-29,5,DHS 1986,2.5594563986409966
25-29,6,DHS 1986,0.7701019252548131
15-19,0,DHS 2017,19.40196922138166
15-19,1,DHS 2017,2.3722620516658024
15-19,2,DHS 2017,0.3847167526157585
15-19,3,DHS 2017,0.0465142552667522
20-24,0,DHS 2017,9.307404767552482
20-24,1,DHS 2017,4.581973986511838
20-24,2,DHS 2017,2.900709656117725
20-24,3,DHS 2017,1.1570955131162504
20-24,4,DHS 2017,0.2997067862262502
20-24,5,DHS 2017,0.0832989340361188
20-24,6,DHS 2017,0.0159383690405557
25-29,0,DHS 2017,4.029527364866138
25-29,1,DHS 2017,3.163483440466842
25-29,2,DHS 2017,3.257162579465483
25-29,3,DHS 2017,3.03000514719964
25-29,4,DHS 2017,2.067531044295712
25-29,5,DHS 2017,0.8128987165828984
25-29,6,DHS 2017,0.296459177944792
30-34,0,DHS 2017,2.038297166772157
30-34,1,DHS 2017,1.9254416709912447
30-34,2,DHS 2017,2.0008524355786004
30-34,3,DHS 2017,2.4008538907045964
30-34,4,DHS 2017,2.5114814541478965
30-34,5,DHS 2017,2.18823581037708
30-34,6,DHS 2017,1.358854619193549
35-39,0,DHS 2017,0.7734349944953584
35-39,1,DHS 2017,0.7882032914515888
35-39,2,DHS 2017,1.0607077602983337
35-39,3,DHS 2017,1.5964230004501558
35-39,4,DHS 2017,1.563652791227044
35-39,5,DHS 2017,1.5832909577449088
35-39,6,DHS 2017,1.3678516466917203
40-44,0,DHS 2017,0.5582791944935358
40-44,1,DHS 2017,0.4740248008717273
40-44,2,DHS 2017,0.6886032850911433
40-44,3,DHS 2017,1.01646818783105
40-44,4,DHS 2017,1.0556265128839342
40-44,5,DHS 2017,1.2392663182385244
40-44,6,DHS 2017,1.213051830731371
45-49,0,DHS 2017,0.3089738560201479
45-49,1,DHS 2017,0.3081194806071439
45-49,2,DHS 2017,0.3099848288007963
45-49,3,DHS 2017,0.5416372750837752
45-49,4,DHS 2017,0.6648042678981766
45-49,5,DHS 2017,0.7949158607287948
45-49,6,DHS 2017,0.9274708859872532
