year,region,method,Freq
2019,Addis Ababa,BTL,0
2019,Addis Ababa,Condoms,0.8
2019,Addis Ababa,Implants,6.7
2019,Addis Ababa,Injectables,9.1
2019,Addis Ababa,IUDs,2.5
2019,Addis Ababa,Other modern,1.2
2019,Addis Ababa,Other traditional,1.4
2019,Addis Ababa,Pill,4.5
2019,Addis Ababa,Withdrawal,0
2019,Afar,BTL,0
2019,Afar,Condoms,0.2
2019,Afar,Implants,1.2
2019,Afar,Injectables,6.7
2019,Afar,IUDs,0.6
2019,Afar,Other modern,0.5
2019,Afar,Other traditional,0
2019,Afar,Pill,1.9
2019,Afar,Withdrawal,0
2019,Amhara,BTL,0.1
2019,Amhara,Condoms,0
2019,Amhara,Implants,7.5
2019,Amhara,Injectables,24.7
2019,Amhara,IUDs,0.9
2019,Amhara,Other modern,0.2
2019,Amhara,Other traditional,0
2019,Amhara,Pill,1.1
2019,Amhara,Withdrawal,0
2019,Benishangul-Gumuz,BTL,0
2019,Benishangul-Gumuz,Condoms,0
2019,Benishangul-Gumuz,Implants,11.1
2019,Benishangul-Gumuz,Injectables,12.1
2019,Benishangul-Gumuz,IUDs,1.5
2019,Benishangul-Gumuz,Other modern,0.6
2019,Benishangul-Gumuz,Other traditional,1.3
2019,Benishangul-Gumuz,Pill,0.7
2019,Benishangul-Gumuz,Withdrawal,0.1
2019,Dire Dawa,BTL,0.2
2019,Dire Dawa,Condoms,0.6
2019,Dire Dawa,Implants,7.2
2019,Dire Dawa,Injectables,4.9
2019,Dire Dawa,IUDs,0.5
2019,Dire Dawa,Other modern,1.5
2019,Dire Dawa,Other traditional,0.3
2019,Dire Dawa,Pill,3.3
2019,Dire Dawa,Withdrawal,0
2019,Gambela,BTL,0
2019,Gambela,Condoms,0.1
2019,Gambela,Implants,0.6
2019,Gambela,Injectables,20.5
2019,Gambela,IUDs,0.2
2019,Gambela,Other modern,0
2019,Gambela,Other traditional,0.4
2019,Gambela,Pill,1.7
2019,Gambela,Withdrawal,0
2019,Harari,BTL,0.1
2019,Harari,Condoms,0.8
2019,Harari,Implants,6.9
2019,Harari,Injectables,6.3
2019,Harari,IUDs,0.8
2019,Harari,Other modern,2
2019,Harari,Other traditional,1.3
2019,Harari,Pill,2.4
2019,Harari,Withdrawal,0
2019,Oromia,BTL,0.6
2019,Oromia,Condoms,0
2019,Oromia,Implants,5.2
2019,Oromia,Injectables,18.3
2019,Oromia,IUDs,1.1
2019,Oromia,Other modern,0.9
2019,Oromia,Other traditional,1
2019,Oromia,Pill,1.4
2019,Oromia,Withdrawal,0.4
2019,SNNPR,BTL,0.2
2019,SNNPR,Condoms,0.1
2019,SNNPR,Implants,5.4
2019,SNNPR,Injectables,23.4
2019,SNNPR,IUDs,1
2019,SNNPR,Other modern,0.2
2019,SNNPR,Other traditional,0.1
2019,SNNPR,Pill,0.9
2019,SNNPR,Withdrawal,0.2
2019,Somali,BTL,0
2019,Somali,Condoms,0
2019,Somali,Implants,0.3
2019,Somali,Injectables,1.3
2019,Somali,IUDs,0
2019,Somali,Other modern,0.5
2019,Somali,Other traditional,0
2019,Somali,Pill,0.7
2019,Somali,Withdrawal,0
2019,Tigray,BTL,0
2019,Tigray,Condoms,1.2
2019,Tigray,Implants,10.3
2019,Tigray,Injectables,11
2019,Tigray,IUDs,0.7
2019,Tigray,Other modern,0.4
2019,Tigray,Other traditional,0.3
2019,Tigray,Pill,2.6
2019,Tigray,Withdrawal,0.2
