"estimate","coef","se","method","functionform"
0.305869077946652,"shape",0.0295828436734837,"None","weibull"
3.01808430633367,"scale",0.0531702188610622,"None","weibull"
-0.127623635297491,"age_grp_fact(0,18]",0.0907497697083388,"None","weibull"
0.141586340457802,"age_grp_fact(18,20]",0.100248157109132,"None","weibull"
0,"age_grp_fact(20,25]",0,"None","weibull"
0.3344113993594,"age_grp_fact(25,35]",0.0689885663034369,"None","weibull"
0.856359097935154,"age_grp_fact(35,50]",0.0893535964624799,"None","weibull"
0.279248027500309,"shape",0.244999575668295,"Pill","gamma"
-2.23084511082466,"rate",0.418537551369853,"Pill","gamma"
0.564227014312785,"age_grp_fact(0,18]",0.929045130047005,"Pill","gamma"
-0.0572750058010199,"age_grp_fact(18,20]",0.1931957915117,"Pill","lnorm"
0,"age_grp_fact(20,25]",0,"Pill","lnorm"
0.0468943907575281,"age_grp_fact(25,35]",0.404608629202301,"Pill","gamma"
-0.913792329047138,"age_grp_fact(35,50]",0.536005224637825,"Pill","gamma"
0.798733391462532,"shape",0.665212046251144,"IUD","gamma"
-6.16359510736763,"rate",23.5514091046432,"IUD","gamma"
-0.0133930573364375,"age_grp_fact(0,18]",1.04446593597472,"IUD","exponential"
5.17046549778381,"age_grp_fact(18,20]",23.4998152666605,"IUD","gamma"
0,"age_grp_fact(20,25]",0,"IUD","gamma"
0.108496760272607,"age_grp_fact(25,35]",0.327570654335005,"IUD","exponential"
2.78696286268701,"age_grp_fact(35,50]",23.4761787479432,"IUD","gamma"
1.83396583169997,"meanlog",0.0789134036662728,"Injectable","lnorm"
-0.00557569797636333,"sdlog",0.0789134036662728,"Injectable","lnorm"
0.655544271267958,"age_grp_fact(0,18]",0.0789134036662728,"Injectable","lnorm"
0.141586340457802,"age_grp_fact(18,20]",0.100248157109132,"None","weibull"
0,"age_grp_fact(20,25]",0,"injectable","lnorm"
0.446252042827327,"age_grp_fact(25,35]",0.0789134036662728,"Injectable","lnorm"
1.59024164657047,"age_grp_fact(35,50]",0.0789134036662728,"Injectable","lnorm"
3.32763557633832,"meanlog",0.179870665983625,"Condom","lnorm"
-0.272024458224304,"sdlog",0.179870665983625,"Condom","lnorm"
-1.62616331509478,"age_grp_fact(0,18]",0.179870665983625,"Condom","lnorm"
-0.164814857793584,"age_grp_fact(18,20]",0.179870665983625,"Condom","lnorm"
0,"age_grp_fact(20,25]",0.179870665983625,"Condom","lnorm"
-1.22378619894004,"age_grp_fact(25,35]",0.179870665983625,"Condom","lnorm"
3.59531501798751,"age_grp_fact(35,50]",1798.70665983624,"Condom","lnorm"
0.294410864917806,"shape",0.168266597536274,"Implant","weibull"
3.64007843361782,"scale",0.319169453570105,"Implant","weibull"
-0.115091461180747,"age_grp_fact(0,18]",0.610929898508509,"Implant","weibull"
0.216713500139746,"age_grp_fact(18,20]",0.807446930683785,"Implant","weibull"
0,"age_grp_fact(20,25]",0,"Implant","weibull"
0.715437224909545,"age_grp_fact(25,35]",0.374625503438157,"Implant","weibull"
1.47746718453963,"age_grp_fact(35,50]",0.500580977380328,"Implant","weibull"
1.65904243988632,"shape",0.245322736302359,"Other.trad","llogis"
2.379298151969,"scale",0.138106978739693,"Other.trad","llogis"
-2.37929815217749,"age_grp_fact(0,18]",0.302519378673216,"Other.trad","llogis"
0.182683837524137,"age_grp_fact(18,20]",0.238330254223214,"Other.trad","llogis"
0,"age_grp_fact(20,25]",0,"Other.trad","llogis"
0.243723427033898,"age_grp_fact(25,35]",0.185391483489223,"Other.trad","llogis"
0.419912827321694,"age_grp_fact(35,50]",0.239610817507254,"Other.trad","llogis"
