"region","use","Freq","perc"
"addis_ababa","0",688.395257999999,73.9985712114697
"addis_ababa","1",241.886566,26.0014287885303
"afar","0",115.417997,90.0455590689693
"afar","1",12.759337,9.95444093103072
"amhara","0",2448.214524,65.9163883946454
"amhara","1",1265.906628,34.0836116053546
"benishangul_gumuz","0",125.161939999999,78.0225127865389
"benishangul_gumuz","1",35.255785,21.9774872134611
"central","0",2409.57906699999,73.2833025194533
"central","1",878.453791999997,26.7166974805467
"dire_dawa","0",72.6993710000002,80.4250975558237
"dire_dawa","1",17.694515,19.5749024441763
"gambela","0",32.11265,73.4570332175899
"gambela","1",11.603586,26.5429667824101
"harari","0",30.6880659999998,79.7437717137797
"harari","1",7.795273,20.2562282862203
"oromia","0",4488.01968499997,78.7249546340448
"oromia","1",1212.86602,21.2750453659552
"sidama","0",2409.57906699999,73.2833025194533
"sidama","1",878.453791999997,26.7166974805467
"somali","0",454.53989,98.9301502823652
"somali","1",4.915482,1.06984971763482
"south","0",2409.57906699999,73.2833025194533
"south","1",878.453791999997,26.7166974805467
"southwest","0",2409.57906699999,73.2833025194533
"southwest","1",878.453791999997,26.7166974805467
"tigray","0",844.000927000004,74.754189981918
"tigray","1",285.034017,25.245810018082
