"region","quintile","Freq","percent"
"addis_ababa","poorest",0,0
"addis_ababa","poorer",0,0
"addis_ababa","middle",0,0
"addis_ababa","richer",662023,0.0711637036133257
"addis_ababa","richest",929619801,99.9288362963867
"afar","poorest",87610606,68.3510908410687
"afar","poorer",2526081,1.97077043278182
"afar","middle",2045150,1.5955629097419
"afar","richer",2727899,2.12822260759457
"afar","richest",33267598,25.954353208813
"amhara","poorest",499489602,13.44839281107
"amhara","poorer",692153491,18.6357273409696
"amhara","middle",840025824,22.6170819319574
"amhara","richer",889617627,23.9523050162474
"amhara","richest",792834608,21.3464928997556
"benishangul_gumuz","poorest",39092231,24.3690221887887
"benishangul_gumuz","poorer",34360793,21.4195738033313
"benishangul_gumuz","middle",27845871,17.3583505189342
"benishangul_gumuz","richer",29807381,18.5811019324704
"benishangul_gumuz","richest",29311449,18.2719515564754
"central","poorest",545689979,16.5962446970789
"central","poorer",649448557,19.7518876741858
"central","middle",743585873,22.6149161181482
"central","richer",764064707,23.2377454777741
"central","richest",585243743,17.7992060328129
"dire_dawa","poorest",11320206,12.5231987481985
"dire_dawa","poorer",7414365,8.20228593779009
"dire_dawa","middle",5003371,5.53507678605608
"dire_dawa","richer",2307360,2.55256201730281
"dire_dawa","richest",64348584,71.1868765106525
"gambela","poorest",11511106,26.3314206648532
"gambela","poorer",3910981,8.94628942894352
"gambela","middle",3969384,9.07988510264241
"gambela","richer",5410957,12.3774539967256
"gambela","richest",18913808,43.2649508068352
"harari","poorest",2698739,7.01274647711832
"harari","poorer",4634392,12.0425932895272
"harari","middle",3435818,8.92806624705824
"harari","richer",3287143,8.5417302277227
"harari","richest",24427247,63.4748637585736
"oromia","poorest",853062739,14.9636878047181
"oromia","poorer",1166116954,20.455013735449
"oromia","middle",1148794919,20.1511655985743
"oromia","richer",1252346572,21.9675790184957
"oromia","richest",1280564521,22.4625538427629
"sidama","poorest",545689979,16.5962446970789
"sidama","poorer",649448557,19.7518876741858
"sidama","middle",743585873,22.6149161181482
"sidama","richer",764064707,23.2377454777741
"sidama","richest",585243743,17.7992060328129
"somali","poorest",298492405,64.9665719873224
"somali","poorer",37320674,8.12280719181579
"somali","middle",31986302,6.96178648663183
"somali","richer",28101269,6.11621295832841
"somali","richest",63554722,13.8326213759016
"south","poorest",545689979,16.5962446970789
"south","poorer",649448557,19.7518876741858
"south","middle",743585873,22.6149161181482
"south","richer",764064707,23.2377454777741
"south","richest",585243743,17.7992060328129
"southwest","poorest",545689979,16.5962446970789
"southwest","poorer",649448557,19.7518876741858
"southwest","middle",743585873,22.6149161181482
"southwest","richer",764064707,23.2377454777741
"southwest","richest",585243743,17.7992060328129
"tigray","poorest",283801260,25.136623229263
"tigray","poorer",211332067,18.7179385477019
"tigray","middle",171495192,15.1895380130945
"tigray","richer",121295749,10.7433122105386
"tigray","richest",341110676,30.2125879994021
