"Estimate","Std. Error","t value","Pr(>|t|)","rhs"
-5.29845961625187,2.49537162322122,-2.12331484695342,0.036441453461188,"(Intercept)"
1.35879088497034,1.82262383275243,0.745513616442931,0.457882613245368,"ns(age, knots = c(25, 40))1"
3.3115604223001,4.47598466667398,0.739850707478151,0.461295031283561,"ns(age, knots = c(25, 40))2"
4.13212378048306,2.11155601735455,1.95690938176481,0.0534233666395147,"ns(age, knots = c(25, 40))3"
3.12524453964509,6.09466925721414,0.512783287779857,0.609345446686006,"prior_userTRUE"
1.00386655818603,0.851284218990068,1.17923783360742,0.241377428547936,"edu.levelPrimary"
0.516126836914466,0.581252517709391,0.887956303309319,0.376905253704294,"edu.levelSecondary"
-0.0304569921915964,0.211560806921903,-0.143963301306747,0.885847784648891,"parity"
0.222203567554383,0.729549855793334,0.304576261361538,0.761384357498504,"urban"
0.502423901896061,0.355875681487994,1.4117961075489,0.161420311843221,"wealthquintile"
-0.927867858928754,3.42291784897282,-0.271075117741197,0.786947201280494,"ns(age, knots = c(25, 40))1:prior_userTRUE"
-6.61668704408698,14.0024228763102,-0.472538724371861,0.637673642961854,"ns(age, knots = c(25, 40))2:prior_userTRUE"
-3.71945324603167,2.55788034213911,-1.45411541922292,0.149354714794175,"ns(age, knots = c(25, 40))3:prior_userTRUE"
